account,name,link,keywords,language
@manlius@mathstodon.xyz,Manlio De Domenico,https://mathstodon.xyz/@manlius,network neuroscience; cognitive neuroscience,en
@TheShrinkette@mastodon.social,Janani,https://mastodon.social/@TheShrinkette,behavioural analysis; queer science; disability justice,en
@FrederikAust@fediscience.org,Frederik Aust,https://fediscience.org/@FrederikAust,memory; learning; cognitive modeling; Bayes; reproducibility,en
@jnfrltackett@nerdculture.de,Jennifer Tackett,https://nerdculture.de/@jnfrltackett,clinical psychology; personality; leadership; open science; diversity science,en
@HelenaPaterson@nerdculture.de,Helena Paterson,https://nerdculture.de/@HelenaPaterson,open science; pedagogy; social psychology,en
@AliciaForsberg@fediscience.org,Alicia Forsberg,https://fediscience.org/@AliciaForsberg,working memory; development; cognitive ageing; meta-cognition; open science,en
@DrMikeStanton@mstdn.social,Mike Stanton,https://mstdn.social/@DrMikeStanton,stress; health; weight; disparities; AfroLatino,en
@hugospiers@mastodon.sdf.org,Hugo Spiers,https://mastodon.sdf.org/@hugospiers,cognitive neuroscience; spatial memory; spatial navigation,en
@PVrticka@mastodon.social,Pascal Vrticka,https://mastodon.social/@PVrticka,fMRI; fNIRS; social; neuroscience; attachment; caregiving,en
@AndyPerfors@tech.lgbt,Andrew Perfors,https://tech.lgbt/@AndyPerfors,Bayesian models; computational cogsci; information transmission; cultural/language evolution; language; reasoning,en
@dionhenare@mastodon.nz,Dion Henare,https://mastodon.nz/@dionhenare,cognitive neuroscience; visual perception; visual attention; open science; EEG; statistical learning,en
@JoranJongerling@mastodon.social,Joran Jongerling,https://mastodon.social/@JoranJongerling,intensive longitudinal methods; rstats; psychometrics; EMA; experience sampling; open science,en
@dsquintana@mastodon.social,Dan Quintana,https://mastodon.social/@dsquintana,open science; psychophysiology; psychoneuroendocrinology,en
@saraincera@mastodon.online,Sara Incera,https://mastodon.online/@saraincera,cognition; bilingualism; foreign accents; second language acquisition; language development,en
@will_ngiam@fediscience.org,William Ngiam,https://fediscience.org/@will_ngiam,cognitive psychology; cognitive neuroscience; visual attention; visual working memory; open science,en
@paolo_papale@scholar.social,Paolo Papale,https://scholar.social/@paolo_papale,computational neuroscience; vision; open science,en
@DrLambchop@mastodon.nz,Maryanne Garry,https://mastodon.nz/@DrLambchop,memory; cognitive; open science,en
@Gerald@fediscience.org,Gerald Schmidt,https://fediscience.org/@Gerald,cognitive ergonomics; human factors; psychophysiology,en
@kwcooper@fediscience.org,Keiland Cooper,https://fediscience.org/@kwcooper,neuroscience; AI,en
@alelazic@mastodon.social,Aleksandra Lazić,https://mastodon.social/@alelazic,social psychology; health psychology; open science,en
@PhilippMusfeld@fediscience.org,Philipp Musfeld,https://fediscience.org/@PhilippMusfeld,working memory; long-term memory; computational models of cognition; Bayesian statistics; open science,en
@uma_karma@fediscience.org,Uma Karmarkar,https://fediscience.org/@uma_karma,neuroeconomics; decision-making; marketing,en
@profsimons@mas.to,Dan Simons,https://mas.to/@profsimons,attention; perception; memory; awareness; intuitions; open science,en
@garicgymro@toot.wales,Gareth Roberts,https://toot.wales/@garicgymro,language,en
@RyanPBowles@mastodon.social,Ryan P Bowles,https://mastodon.social/@RyanPBowles,quantitative methods,en
@jhogeveen@mastodon.online,Jeremy Hogeveen,https://mastodon.online/@jhogeveen,cognitive neuroscience,en
@borovsky@fediscience.org,Arielle Borovsky,https://fediscience.org/@borovsky,language; learning; cognitive development,en
@alexconley@qoto.org,Alexander Conley,https://qoto.org/@alexconley,cognition; neuroscience; Alzheimer's disease,en
@matti@fosstodon.org,Matti Vuorre,https://fosstodon.org/@matti,applied statistics,en
@paolo_palma@mastodon.social,Paolo Palma,https://mastodon.social/@paolo_palma,social psychology; immigration,en
@neuro_drqm@mastodon.social,David Quiroga,https://mastodon.social/@neuro_drqm,cognitive neuroscience; EEG; MEG; music science; imagery,en
@igutierrez@mastodon.social,Ian Gutierrez,https://mastodon.social/@igutierrez,military; resilience; clinical psychology,en
@MatthewBJane@mastodon.social,Matthew B. Jané,https://mastodon.social/@MatthewBJane,meta-analysis; psychometrics,en
@c_constan@mastodon.social,Christos Constantinidis,https://mastodon.social/@c_constan,cognitive neuroscience,en
@cillianmchugh@mastodon.ie,Cillian McHugh,https://mastodon.ie/@cillianmchugh,moral judgments; categorisation; rstats,en
@mjb@sciences.social,Mark Brandt,https://sciences.social/@mjb,social psychology; political psychology; moral psychology,en
@sanjaysrivastava@mas.to,Sanjay Srivastava,https://mas.to/@sanjaysrivastava,personality; reputation; culture; identity; lifespan development; open science;,en
@charanranganath@mastodon.social,Charan Ranganath,https://mastodon.social/@charanranganath,psychology; memory; cognitive neuroscience,en
@estebanmonte@fosstodon.org,Esteban Montenegro,https://fosstodon.org/@estebanmonte,quantitative psychology,en
@regretlab@fediscience.org,Amy Summerville,https://fediscience.org/@regretlab,social psychology; social cognition,en
@drrodebaugh@fediscience.org,Tom Rodebaugh,https://fediscience.org/@drrodebaugh,anxiety; tinnitus; psychotherapy; clinical psychology; idiographic; longitudinal,en
@JschleiderPhD@mastodon.social,Jessica Schleider,https://mastodon.social@JschleiderPhD,clinical psychology,en
@vanessabrown@fediscience.org,Vanessa Brown,https://fediscience.org/@vanessabrown,clinical psycyology; computational modeling; cognitive neuroscience,en
@ProfASwan@mas.to,Alex Swan,https://mas.to/@ProfASwan,cognitive psychology; social psychology; human biases,en
@johnfranchak@fediscience.org,John Franchak,https://fediscience.org/@johnfranchak,perceptual-motor development; eye tracking; mobile sensing; affordances,en
@bjbalas@mstdn.social,Ben Balas,https://mstdn.social/@bjbalas,face recognition; vision science,en
@mitchprinstein@mstdn.social,Mitch Prinstein,https://mstdn.social/@mitchprinstein,developmental psychopathology,en
@PhilosophicalPsychology@fediscience.org,Philosophical Psychology,https://fediscience.org/@PhilosophicalPsychology,interdisciplinary; journal; CFP; bias; affordances,en
@joshcorbett@mastodon.social,Josh Corbett,https://mastodon.social/@joshcorbett,cognitive neuroscience; visual attention; perception,en
@siminevazire@mastodon.social,Simine Vazire,https://mastodon.social/@siminevazire,social psychology; personality psychology; open science; psych methods; metascience,en
@alexh@fediscience.org,Alex Holcombe,https://fediscience.org/@alexh,open science; metaresearch; visual attention; psychophysics; metascience,en
@awaisaftab@mastodon.social,Awais Aftab,https://mastodon.social/@awaisaftab,psychiatry,en
@darbysaxbe@mas.to,Darby Saxbe,https://mas.to/@darbysaxbe,clinical psychology; health psychology; stress; relationships,en
@andytonality@mastodonapp.uk,Andrew Milne,https://mastodonapp.uk/@andytonality,music theory; cognitive science,en
@JohnGuilaran@mastodon.online,John Guilaran,https://mastodon.online/@JohnGuilaran,disaster psychology; clinical psychology,en
@NivReggev@fediscience.org,Niv Reggev,https://fediscience.org/@NivReggev,social psychology; cognitive neuroscience; open science; stereotypes,en
@NoraSkjerdingstad,Nora Skjerdingstad,https://mastodon.social/@NoraSkjerdingstad,clinical psychology; developmental psychopathology,en
@Ayolee@mastodon.scot,Alaka Ayomide,https://mastodon.scot/@Ayolee,visual attention,en
@KatyElphinstone@mas.to,Katy J. Elphinstone,https://mas.to/@KatyElphinstone,autism; neurodiversity,en
@emily@nerdculture.de,Emily Mather,https://nerdculture.de/@emily,language development; cognitive development; word learning; category learning; novelty,en
@mzloteanu@mastodon.social,Mircea Zloteanu,https://mastodon.social/@mzloteanu,experimental psychology; forensic psychology; open science; Bayesian; stats,en
@dae@mastodon.online,Dae Houlihan,https://mastodon.online/@daehoulihan,cogsci; emotion; affective computing; cognition,en
@ljuba@mstdn.social,Liuba Papeo,https://mstdn.social/@ljuba_p,cognitive neuroscience; vision; fMRI; social cognition; language; neuropsychology; infant studies,en
@VeraK@mastodon.scot,Vera Kempe,https://mastodon.scot/@VeraK,cognitive science; language evolution; open science,en
@tracyepton@mastodon.green,Tracy Epton,https://mastodon.green/@tracyepton,health psychology; behaviour change; systematic review,en
@bakerdh@fediscience.org,Daniel Hart Baker,https://fediscience.org/@bakerdh,psychophysics; EEG; SSVEP; vision; binocular; dichoptic; rstats; open science,en
@driankellar@fediscience.org,Ian Kellar,https://fediscience.org/@driankellar,intervention development; systematic review; process evaluation; behaviour change,en
@drtifftaft@nerdculture.de,Tiffany Taft,https://nerdculture.de/@drtifftaft,health psychology; brain/gut connection; medical PTSD,en
@aidanhorner@fediscience.org,Aidan Horner,https://fediscience.org/@aidanhorner,memory; forgetting; spatial navigation; sleep; fMRI; MEG,en
@esdalmaijer@mastodon.online,Edwin Dalmaijer,https://mastodon.online/@esdalmaijer,child development; socio-economic status; disgust,en
@shaneomara@mstdn.science,Shane O'Mara,https://mstdn.science/@shaneomara,learning; memory; behavioural policy; neuroplasticity,en
@CoralieChevallier@fediscience.org,Coralie Chevallier,https://fediscience.org/@CoralieChevallier,social cognition; evolutionary human sciences; poverty psychology,en
@martin_hebart@fediscience.org,Martin Hebart,https://fediscience.org/@martin_hebart,cognitive neuroscience; vision science; neuroimaging; cognitive science; computational neuroscience,en
@altaypsyguy@c.im,Altay Yüce Turan,https://c.im/@altaypsyguy,neuropsychology; clinical neuropsychology; longcovid,en
@Cwilsonpsych@mas.to,Christopher Wilson,https://mas.to/@Cwilsonpsych,rstats,en
@saschamiller@mastodonapp.uk,Sascha Miller,https://mastodonapp.uk/@saschamiller,behaviour; behaviour change,en
@meyerthomas@fediscience.org,Thomas Meyer,https://fediscience.org/@meyerthomas,clinical psychology; experimental psychopathology; stress; ptsd; trauma film,en
@wdebaene@fediscience.org,Wouter De Baene,https://fediscience.org/@wdebaene,cognitive neuroscience,en
@barbosa@mastodon.social,Joao Barbosa,https://mastodon.science/@barbosa,working memory; decision-making,en
@b_causal@fosstodon.org,Joseph Bulbulia,https://fosstodon.org/@b_causal,causal inference; quantitative psychology; rstats,en
@drbjork@scholar.social,Stefan Björk,https://scholar.social/@drbjork,group psychology; sociocultural psychology; critical psychology; gender studies; feminist psychology; philosophy of mind; phenomenology,en
@DrSJW@mas.to,Samuel West,https://mas.to/@DrSJW,aggression; personality,en
@merelvg@fediscience.org,Merel van Goch,https://fediscience.org/@merelvg,interdisciplinarity; learning; cognitive psychology; education,en
@MichaelJBernstein@mastodon.social,Michael J Bernstein,https://mastodon.social/@MichaelJBernstein,social psychology; belonging; faces,en
@oyvindhalsoy@scholar.social,Øyvind Halsøy,https://scholar.social/@oyvindhalsoy,psychopathology; clinical psychology; intensive longitudinal data; rstats; experience sampling; open science,en
@achterbrain@mastodon.social,Jascha Achterberg,https://mastodon.social/@achterbrain,higher cognition; neuroAI; neural network; PFC; inference; reasoning; plasticity,en
@maureenritchey@mstdn.social,Maureen Ritchey,https://mstdn.social/@maureenritchey,cognitive neuroscience; memory; episodic memory; emotional memory; fMRI,en
@markhenick@mstdn.social,Mark Henick,https://mstdn.social/@markhenick,social neuroscience; cognitive psychology; learning; memory; mental health,en
@A_Ferry@mas.to,Alissa Ferry,https://mas.to/@A_Ferry,language development; developmental psychology; cognitive development; cognitive neuroscience,en
@b_m_hughes@mastodon.ie,Brian Hughes,https://mastodon.ie/@b_m_hughes,stress; health; disability; political psychology; pseudoscience,en
@julie3dharris@mastodon.scot,Julie Harris,https://mastodon.scot/@julie3dharris,vision; perception; cognition; pattern; camouflage,en
@kairuggeri@mas.to,Kai Ruggeri,https://mas.to/@kairuggeri,behavior; decision-making; inequalities,en
@rei_akaishi@mstdn.social,Rei Akaishi,https://mstdn.social/@rei_akaishi,decision science; neuroscience,en
@brianxu@qoto.org,Brian Xu,https://qoto.org/@brianxu,systems neuroscience; vision; computation; neuroAI,en
@Jason_Power@mastodon.social,Jason Power,https://mastodon.social/@Jason_Power,motivation; self-efficacy; STEM learning,en
@mcarondiotte@mastodon.social,Mathieu Caron-Diotte,https://mastodon.social/@mcarondiotte,identity; integration; relative deprivation; collective memory,en
@JeffreyRStevens@fediscience.org,Jeff Stevens,https://fediscience.org/@JeffreyRStevens,decision-making; animal cognition; open science,en
@suzyjstyles@toot.community,Suzy J Styles,https://toot.community/@suzyjstyles, developmental psychology; multilingualism; neuro; WEIRD bias; reproducibility,en
@openscience@mastodon.social,Open Science,https://mastodon.social/@openscience,open science; publishing; open data,en
@kellywolfe@mastodon.scot,Kelly Wolfe,https://mastodon.scot/@kellywolf,cognitive aging; risk-taking; decision-making; open science,en
@mcxfrank@nerdculture.de,Michael Fran,https://nerdculture.de/@mcxfrank,language; learning; development; computational modeling,en
@martinlangcz@mstdn.social,Martin Lang,https://mstdn.social/@martinlangcz,trust; cooperation; signaling; religion; anxiety,en
@dtitone@mstdn.social,Debra Titone,https://mstdn.social/@dtitone,cognition; linguistics; multilingualism,en
@manybabies@nerdculture.de,ManyBabies,https://nerdculture.de/@manybabies,developmental; development; cognitivedevelopment; methods; open science,en
@MeredithSchmehl@mas.to,Meredith Schmehl,https://mas.to/@MeredithSchmehl,neuroscience; neurobiology; multisensory; visual; auditory,en
@Karampbell@mas.to,Karen L. Campbell,https://mas.to/@Karampbell,aging; cognition; cognitive neuroscience; memory; attention,en
@Justin_Lind@vis.social,Justin Lind,https://vis.social/@Justin_Lind,color cognition; preattentive perceptions; visualization; musical timbre; music visualization,en
@bwyble@mastodon.social,Brad Wyble,https://mastodon.social/@bwyble,attention; working memory; EEG; computational modelling; vision,en
@SinCityMemory@mastodon.social,Colleen Parks,https://mastodon.social/@SinCityMemory,cognition; cognitive science; memory,en
@satrevik@mastodon.social,Bjørn Sætrevik,https://mastodon.social/@satrevik,cognitive psychology; decision-making; applied psychology; human factors,en
@felicia@mastodon.online,Felicia Tuchman,https://mastodon.online/@felicia,addiction; statistics; harm reduction; precision medicine; non-abstinent recovery,en
@tedpavlic@mas.to,Ted Pavlic,https://mas.to/@tedpavlic,neuroscience; neurobiology; cognition; animal cognition; comparative cognition; collective intelligence; machine ethics; AI,en
@jverhell@qoto.org,Jonas Verhellen,https://qoto.org/@jverhell,neuroscience,en
@samhforbes@scholar.social,Sam Forbes,https://scholar.social/@samhforbes,developmental psychology; rstats; open science,en
@LNBeadleston@fediscience.org,LNBeadleston,https://fediscience.org/@LNBeadleston,social class; gender; critical social psychology; hobbies; leisure activities,en
@MagicTony@mastodon.world,Anthony Barnhart,https://mastodon.world/@MagicTony,science of magic; attention; word perception,en
@matan@c.im,Matan Mazor,https://c.im/@matan,self; metacognition; absence; modeling,en
@veronicayan@mstdn.social,Veronica Yan,https://mstdn.social/@veronicayan,learning science; learning; memory; metacognition; motivation; self-regulated learning,en
@SNL_Luebeck@mstdn.social,Social Neuroscience Lübeck,https://mstdn.social/@SNL_Luebeck,social neuroscience; affective neuroscience; social emotions; belief updating; metascience,en
@annayahprosser@mstdn.social,Annayah M.B Prosser,https://mstdn.social/@annayahprosser,social change; identity; morality; climate crisis; qualitative methods,en
@tiana@fediscience.org,Tiana Simovic,https://fediscience.org/@tiana,psycholinguistics; language processing; reference; eye-tracking,en
@oscarkjell@mastodon.online,Oscar Kjell,https://mastodon.online/@oscarkjell,wellbeing; mental health; natural language processing; rstats; harmony,en
@utek@fediscience.org,Utek,https://fediscience.org/@utek,personality; health; psychopathology,en
@mahelmich@mastodon.online,Marieke A. Helmich,https://mastodon.online/@mahelmich,clinical psychology; intensive longitudinal data; experience sampling; dynamical systems; psychopathology,en
@timothybeechey@fediscience.org,Timothy Beechey,https://fediscience.org/@timothybeechey,hearing science; speech perception,en
@JTPeterson@mstdn.science,JTPeterson,https://mstdn.science/@JTPeterson,behavioural science; rationality; motivation; cognitive psychology; nudge; behaviour change,en
@MiriForbes@mstdn.social,Miri Forbes,https://mstdn.social/@MiriForbes,psychopathology; stats; nosology; HiTOP; developmental; datavis,en
@jplougheed@mastodon.social,Jess Lougheed,https://mastodon.social/@jplougheed,emotion regulation; adolescence; parenting; internalizing problems; development,en
@BenediktEhinger@scholar.social,Benedikt Ehinger,https://scholar.social/@BenediktEhinger,vision; cognition; statistics; EEG; eyetracking,en
@idoshal@fediscience.org,Ido Shalev,https://fediscience.org/@idoshal,empathy; clinical psychology,en
@ajamesgreen@mastodon.social,James Green,https://mastodon.social/@ajamesgreen,health psychology; active transport; physical activity; methods,en
@Iris@scholar.social,Iris van Rooij,https://scholar.social/@Iris,cognitive science; psychology; philosophy; computational complexity; theory,en
@gpwilliams@fediscience.org,Glenn Williams,https://fediscience.org/@gpwilliams,language acquisition; language processing; dialect; event cognition; statistics,en
@dggoldst@hci.social,Dan Goldstein,https://hci.social/@dggoldst,judgment and decision making,en
@ArranReader@scholar.social,Arran Reader,https://scholar.social/@ArranReader,cognitive neuroscience; body representation; movement; social interaction; TMS,en
@IsobelAC_SLT@toot.wales,Isobel,https://toot.wales/@IsobelAC_SLT,language; aphasia; gesture; multimodal communication,en
@mariawimber@fediscience.org,Maria Wimber,https://fediscience.org/@mariawimber,neuroscience; memory; experimental psychology,en
@jeremyeberle@scicomm.xyz,Jeremy Eberle,https://scicomm.xyz/@jeremyeberle,clinical psychology; quantitative methods; open science; clinical science; anxiety,en
@flavioazevedo@mastodon.social,Flavio Azevedo,https://mastodon.social/@flavioazevedo,political psychology; social psychology; ideology; psychometric; open science,en
@auditoryJoel@mastodon.social,Joel Snyder,https://mastodon.social/@auditoryJoel,auditory; music; consciousness; attention; event-related potentials,en
@marcwhoward@mstdn.social,Marc Howard,https://mstdn.social/@marcwhoward,neuro-inspired AI; cognitive science; theoretical computational neuroscience,en
@alaynapark@mas.to,Alayna Park,https://mas.to/@alaynapark,implementation science; clinical science; diversity science,en
@alexlfrancis@fediscience.org,Alex Francis,https://fediscience.org/@alexlfrancis,hearing; effort; noise; balance; psychophysiology,en
@siobhangriffin@mastodon.ie,Siobhán Griffin,https://mastodon.ie/@siobhangriffin,emotion regulation; cardiovascular reactivity; stress; social identity; group memberships,en
@pleon@fediscience.org,Pablo León-Villagrá,https://fediscience.org/@pleon,cognitive development; categorization; cognition; learning; generalization,en
@hcp4715@mastodon.online,Hu Chuan-Peng,https://mastodon.online/@hcp4715,metascience; self-cognition; drift-diffusion models,en
@janderz8@mastodon.social,John Anderson,https://mastodon.social/@janderz8,aging; fMRI; cognition; bilingualism; cognitive reserve,en
@CorrieWilliams@aus.social,Corrie Williams,https://aus.social/@CorrieWilliams,developmental and life-course criminology; developmental neuroscience; methods,en
@BradKing_LMN@mastodon.online,Brad King,https://mastodon.online/@BradKing_LMN,fMRI; memory; learning; motor; sleep,en
@AnneCleary@mstdn.social,Anne Cleary,https://mstdn.social/@AnneCleary,cognitive science; memory; metacognition; science of learning; higher education,en
@Neurograce@mastodon.online,Grace Lindsay,https://mastodon.online/@Neurograce,computational cognitive neuroscience; attention; NeuroAI; vision,en
@garymarcus@sigmoid.social,Gary Marcus,https://sigmoid.social/@GaryMarcus,cognitive psychology; developmental psychology; AI,en
@arshiya@fediscience.org,Arshiya Sangchooli,https://fediscience.org/@arshiya,cognitive neuroscience; computational neuroscience; neuroimaging,en
@juliafstrand@mastodon.online,Julia Strand,https://mastodon.online/@juliafstrand,speech perception; audiovisual integration; measurement; open science,en
@JamieLarsH@mastodon.online,JamieLarsH,https://mastodon.online/@JamieLarsH,fMRI; cognitive neuroscience; stress; neurodevelopment,en
@MikeyPasek@mastodon.social,Mikey Pasek,https://mastodon.social/@MikeyPasek,social psychology; intergroup relations; religion; political psychology,en
@cmadan@scholar.social,Christopher Madan,https://scholar.social/@cmadan,memory; aging; decision-making; emotion; neuroscience,en
@kiante@nerdculture.de,Kianté,https://nerdculture.de/@kiante, decision-making; neurocognitive modeling; decision neuroscience; response times,en
@MNiemivirta@fediscience.org,Markku Niemivirta,https://fediscience.org/@MNiemivirta,motivation; interest; self-efficacy; perfectionism; burnout,en
@ChristophB@fediscience.org,Christoph,https://fediscience.org/@ChristophB,eating behaviour; nutritional psychology; Bayesian statistics; open science,en
@schultem@scicomm.xyz,Michael Schulte-Mecklenbeck,https://scicomm.xyz/@schultem,process tracing; open science; rstats,en
@balazsaczel@scicomm.xhz,Balazs Aczel,https://scicomm.xyz/@balazsaczel,metascience; psychology of science; credibility research; research efficiency; multi-analyst,en
@MarcCoutanche@mstdn.social,Marc Coutanche,https://mstdn.social/@MarcCoutanche,cognitive neuroscience; memory; perception; neuroimaging; fMRI,en
@mbloechl@scicomm.xyz,Maria Blöchl,https://scicomm.xyz/@mbhloechl,health psychology,en
@jlang@mastodon.social,Jonas Lang,https://mastodon.social/@jlang,work and organizational psychology; multilevel methods; motivation; intelligence; item-response theory,en
@andrewathan@nerdculture.de,Anderw Athan,https://nerdculture.de/@andrewathan,psychotherapy; measurement,en
@jeffgreene@mastodon.social,Jeff Greene,https://mastodon.social/@jeffgreene,educational psychology; self-regulation; epistemic cognition; digital literacy; learning analytics,en
@NeuroVR@fediscience.org,Michael Wiesing,https://fediscience.org/@NeuroVR,vision; virtual reality; virtual environments; cognitive neuroscience; psychophysics; fMRI,en
@aidangcw@mastodon.social,Aidan Wright,https://mastodon.social/@aidangcw,psychopathology; personality; quantitative methods; clinical psychology,en
@nicolegrand@mastodon.social,Nicolas Legrand,https://mastodon.social/@nicolegrand,interoception; computational psychiatry; metacognition; memory; Bayesian modeling,en
@agoldenberg@mastodon.social,Amit Goldenberg,https://mastodon.social/@agoldenberg,emotions; groups; collectives,en
@cconrymurray@fediscience.org,Clare Conry-Murray,https://fediscience.org/@cconrymurray,moral development; psychology of gender; open science; research ethics,en
@DrMeltemYucel@mastodon.social,Meltem Yucel,https://mastodon.social/@DrMeltemYucel,moral development; moral psychology; gossip,en
@momentumyy@nerdculture.de,Yuki Yamada,https://nerdculture.de/@momentumyy,emotion; visual perception; open science; methodology,en
@brainclinics@mstdn.science,Martijn Arns,https://mstdn.science/@brainclinics,applied neuroscience; rTMS; EEG; stratified psychiatry; depression,en
@LPenke@fediscience.org,Lars Penke,https://fediscience.org/@LPenke,evolutionary psychology; hormones; biological personality psychology,en
@EmmaHendersonRR@scicomm.xyz,Emma Henderson,https://scicomm.xyz/@EmmaHendersonRR,metascience; open research; replications; truth judgments; behaviour change,en
@enganhifa@mstdn.social,Juan S. Z.,https://mstdn.social/@enganhifa,cross-cultural psychology,en
@LewendM@mastodon.social,Lewend Mayiwar,https://mastodon.social/@LewendM,emotions and decision making; emotion regulation; risk and uncertainty; psychological distance; social cognition,en
@Danielhochstrasser@aus.social,Daniel Hochstrasser,https://aus.social/@Danielhochstrasser,prediction; auditory processing; EEG,en
@Drmowinckels@fosstodon.org,DrMowinckels,https://fosstodon.org/@DrMowinckels,cognitive neuroscience; lifespan changes; rstats; research software engineering,en
@fiery@nerdculture.de,Fiery Cushman,https://nerdculture.de/@fiery,moral psychology; decision making; causal reasoning; theory of mind; reinforcement learning,en
@austin@fediscience.org,Austin A. Baker,https://fediscience.org/@austin,social bias; discrimination; perception; philosophy of psychology,en
@CharlieRioux@fediscience.org,Charlie Rioux,https://fediscience.org/@CharlieRioux,psychopathology; parenting; resilience; perinatality; SEM,en
@tmb5360@mastodon.social,Tessa Benson-Greenwald,https://mastodon.social/@tmb5360,motivation; social roles; STEM; social psychology,en
@cnsyoung@fediscience.org,Crystal Steltenpohl,https://fediscience.org/@cnsyoung, community psychology; science reform; mixed methods; program evaluation; health; equity; open science,en
@ElineVG@fosstodon.org,Eline Van Geert,https://fosstodon.org/@ElineVG,visual perception; aesthetic appreciation; Bayesian statistics; individual differences; open science,en
@frankgarcea@mstdn.science,Frank Garcea,https://mstdn.science/@frankgarcea,fMRI; lesion symptom mapping; motor function; DTI; ECoG,en
@JohnZelenski@nerdculture.de,John Zelenski,https://nerdculture.de/@JohnZelenski,personality; sustainability; happiness; nature; open science,en
@rebekahgelpi@fediscience.org,Rebekah Gelpí,https://fediscience.org/@rebekahgelpi,computational cognitive science; social learning; developmental psychology; belief revision; trust,en
@mariawimber@fediscience.org,Maria Wimber,https://fediscience.org/@mariawimber,memory; forgetting; neuroscience; experimental psychology,en
@lace@vis.social,Lace Padilla,https://vis.social/@lace,cognitive science; decision making; data vis,en
@rmrahal@nerdculture.de,Rima-Maria Rahal,https://nerdculture.de/@rmrahal,cognition; decision making; process tracing; open science,en
@britdavidson@scicomm.xyz,Brit Davidson,https://scicomm.xyz/@britdavidson,digital traces; online behavior; machine learning; ethics; open science,en
